	eng	kor
1377	Can you help me install this software?	이 소프트웨어 설치하는 법을 알려줄 수 있어?
264	Tom put his shirt on inside out.	톰이 셔츠를 뒤집어 입었어.
2484	I run 10 kilometers every day.	나는 매일 10 킬로미터를 달려.
3010	I'm going through my closet to find clothes to give to charity.	옷장을 뒤져서 기부할 옷들을 찾아봐야겠어.
38	I've been dying to see Tom.	난 톰이 너무 보고 싶어 죽겠어.
3656	I sincerely regret having caused you such an inconvenience.	폐를 끼쳐서 진심으로 죄송합니다.
506	It took me several hours to do that.	그걸 하려고 몇 시간이 걸렸어요.
833	Tom thinks that I'm romantic.	톰은 내가 로맨틱하다고 생각해.
281	Can I borrow your radio?	네 라디오 좀 빌려 줄래?
2224	I really appreciate all your help.	도와 주셔서 아주 고맙습니다.
3345	Tom hasn't yet learned how to write his own name.	톰은 자기 이름을 쓰는 법을 아직 안 배웠어.
307	Could you make sure Tom is OK?	톰이 괜찮은지 확인해줄 수 있어?
751	I don't have much money, but I can get along somehow.	나는 돈이 별로 없지만, 그럭저럭 지낼 수 있다
3310	I told Tom to lie.	난 톰한테 거짓말 하라고 말했어.
1927	Tom is definitely not going to be there.	톰은 확실히 거기에 가 있지 않을 거야.
1525	This isn't our final destination.	이건 우리의 최종 목표가 아냐.
2008	That would be like sawing off the branch you're sitting on.	그건 니가 앉아있는 가지를 쳐내는 꼴이야.
784	I've been trying to reach you all day.	나는 오늘 하루종일 너에게 연락하려고 했어.
1084	I took this picture a week ago.	이 사진 일주일 전에 찍었어.
3011	The tire factory employs 250 people.	그 타이어 공장은 250명을 고용한다.
2416	I hope that this is the beginning of a beautiful friendship.	이게 아름다운 우정의 시작이길 바라.
3268	I have never felt better.	이보다 더 좋았던 적이 없다.
2311	Why is Tom a better choice than Mary?	왜 톰이 메리보다 더 좋은 선택이야?
2997	People with autism tend to have trouble with social interactions.	자폐증을 가진 사람들은 사회생활에 어려움을 갖는 경향이 있어.
628	We had fun with Tom.	우리는 톰과 즐거운 시간을 가졌다.
1375	The earth is much larger than the moon.	지구는 달보다 훨씬 더 넓어.
314	Tom dyed his hair green.	톰은 머리를 초록색으로 염색했어.
838	Tom is having a hard time focusing.	톰은 집중하려고 애를 쓰고 있어.
2378	Tom doesn't cut any corners.	톰은 요령 피우지 않는다.
2936	I'm thinking about going back into teaching.	교직에 돌아갈 생각을 하고 있다.
1221	You should stop singing.	너 노래 그만 불러야할 것 같아.
3576	If I were you, I'd call a doctor.	내가 만약 너라면 의사를 부를 텐데.
2737	I prefer spring to autumn.	나는 가을보다 봄이 좋아.
2341	Tom is ashamed of his body.	톰은 자기 몸을 창피해하고 있어.
693	I like helping others.	나는 남을 돕는 것을 좋아한다.
3764	I asked Tom not to do that anymore.	톰에게 더는 하지 말라고 부탁했다.
3210	I'm happy we're working together.	같이 일할 수 있어서 행복해.
1016	Tom really wants to lose weight.	톰은 정말 살을 빼고 싶어해.
2473	I'm going to be at home this afternoon.	난 오후에는 집에 있을려고.
1613	Is there something you want to tell me?	뭔가 할 말이 있니?
1865	Tom hasn't eaten at a restaurant since he lost his job.	톰은 직업을 잃은 뒤로 레스토랑에서 식사한 적이 없어.
436	Tom is sitting on the porch.	톰은 현관에 앉아 있어.
2718	I have to look after this cat.	난 이 고양이를 돌봐야 해.
1044	Tom is a pretty good poet.	톰은 꽤 괜찮은 시인이야.
2694	How many times do I need to repeat it?	몇 번을 반복해야 해?
2942	You are not a good person. You know that, right?	넌 그다지 좋은 사람이 아냐. 너도 그건 알고 있지?
2105	What's your favorite image editing software?	어떤 것이 네가 가장 좋아하는 사진 편집 소프트웨어야?
1400	We know what Tom is going through.	우리는 톰이 겪고있는 것을 알고 있다.
2039	A virus infected Tom's computer.	톰 컴퓨터는 바이러스에 감염되었어.
1389	Tom often sings in his car.	톰은 자기 차 안에서 가끔 노래해.
3849	Tom is a great French teacher.	톰은 훌륭한 프랑스어 선생님이야.
1290	Tom seems to be very lonely.	톰은 무척이나 외로워 보여.
3581	Tom wants to play a game.	톰은 게임 하는 것을 원한다.
1281	Tom spent more money than usual.	톰은 평소보다 돈을 많이 썼다더라.
2384	I feel like this isn't going to end well.	좋게 끝날 것 같지 않은 기분이야.
19	Tom looked like he was confused.	톰은 혼란스러워하는 것처럼 보였어.
3611	Tom and Mary said they were on our side.	톰과 메리는 우리의 편이라고 말했어.
2279	I think your hypothesis is correct.	네 가설이 맞는 것 같아.
2609	Could you please tell me again where you put the key?	키를 어디다 뒀는지 다시 얘기해 주시겠어요?
2296	Tom said he wanted to hire someone with experience.	톰은 경험이 있는 사람을 고용하고 싶다고 말했다.
1119	Can I borrow your pen?	네 펜 좀 빌려 줄래?
588	This technique isn't easy to learn.	이 기술은 배우기 쉽지 않아.
1283	I informed Tom that I'd do that.	내가 하겠다고 톰한테 알려 줬어.
2421	What in the world do you think you're doing?	세상에 네가 뭘 하고 있다고 생각하는 거니?
3140	She has to study science.	그 사람은 과학을 공부해야 해.
791	She returned a book to the library.	그는 책을 도서관에 반납했다.
1376	I always study hard.	나는 늘 열심히 공부해.
2730	That's what I was going to say.	그게 내가 말하려던 거야.
3395	Tom pondered his next move.	톰은 다음 행동을 곰곰이 생각했어.
2547	She isn't married.	그 사람은 아직 결혼하지 않았어.
3365	Do you believe this has any use?	이게 쓸모가 있을거라고 생각해?
1253	I've had enough of your shenanigans.	너의 속임수에 넌더리가 난다.
1337	Which group do you want to join?	너는 어느 그룹에 들어가고 싶어?
1192	My daughter is still under three years old.	내 딸은 아직 3 살 아래야.
1771	Tom wouldn't let them in.	톰은 그들을 못 들어 오게 했다.
1768	Why should we hire you?	왜 우리가 당신을 고용해야 하는 거죠?
2748	Sorry, but you can't go in there.	미안한데, 거기 들어오면 안 돼.
3190	Like father, like son.	그 아빠에 그 아들.
976	Tom filled the wheelbarrow with sand.	톰은 외바퀴 손수레를 모래로 채웠다.
18	He carried six boxes at a time.	그는 상자 여섯 개를 한 번에 날랐다.
3563	I don't want to throw that away.	나는 그것을 버리고 싶지 않다.
3441	How did you spend your winter vacation?	겨울 방학은 어떻게 지냈나요?
2504	I'll meet Tom tomorrow.	나 내일 톰 만나려고.
2468	I didn't know that you loved Tom so much.	네가 톰을 그렇게 사랑할 줄은 몰랐어.
2195	Tom met a friend of Mary's at the airport.	톰은 메리의 친구를 공항에서 만났다.
2194	Both of them speak French.	둘 다 프랑스어를 할 줄 알아.
3559	I think it's definitely worth it.	이건 확실히 가치 있는 것 같아.
2307	That's all I'm doing.	그게 내가 하고 있는 것의 전부야.
2559	Walking the dog is my responsibility.	개와 산책하는 것은 내 책임이야.
2747	That's my favorite French word.	이게 바로 내가 가장 좋아하는 프랑스 단어야.
3810	Tom is the strongest man I know.	톰은 내가 알고 있는 가장 강한 사람이야.
2834	I like Korean cuisine.	전 한국 요리가 좋아요.
405	When will you get home?	집에 언제 도착할 겁니까?
3243	The boys have gone north.	그 소년들은 북쪽으로 갔다.
2903	You're lonely, aren't you?	너 외롭구나. 그치?
123	Sorry, I don't get your point.	미안한데, 무슨 말을 하는지 못 알아듣겠어.
3328	Tom barely passed the exam.	톰은 시험 간신히 붙었어.
2157	I still don't think it's fair.	난 아직도 이게 공평하다고 생각하지 않아.
346	Music is an art, not a science.	음악은 예술이지, 과학이 아니야.
3697	Is there something that you want to say?	뭐 할 말이라도 있냐고.
2334	Tom is allowed to stay. The rest of you have to leave.	톰은 남아 있어도 돼. 너희 나머지는 떠나야 해.
454	I should've checked Tom's references.	톰의 말을 확인했어야 했다.
2351	There are things that can't be left to chance.	운에 맡길 수 없는 것들이 있다.
2312	I don't read as many books as I used to.	난 예전만큼 책을 많이 읽지 않아.
3433	I know Tom knows I should do that.	나는 톰이 내가 그렇게 해야한다는 것을 안다는 것을 안다.
1651	Tom thought that Mary would be jealous.	톰은 메리가 질투날 거라고 생각했어.
2810	His sudden appearance surprised us all.	걔가 갑자기 와서 우리는 다 놀랐어
1363	I want to grow old with my wife.	난 내 아내와 함께 늙고 싶어.
2502	Women are often judged by their looks.	여자들은 자주 외모로 평가된다.
5	Can the matter wait till tomorrow?	그 일은 내일까지 기다려도 돼?
1745	Tom is one of the most respected men in the business world.	톰은 업계에서 가장 존경 받는 남성 중 한 사람이야.
3631	Why are you so sure of his success?	왜 그의 성공을 그렇게 확신하고 있는 거지?
3092	That's not very important to me.	이건 나한테 그다지 중요하진 않아.
483	I don't sleep a lot.	나는 많이 자지 않아요.
914	Come on. Give it a try.	괜찮아. 한 번 해봐.
249	We've been here since October.	우린 10월부터 여기에 있었어.
34	Tom clasped his hands behind his head.	톰은 머리 뒤로 손을 꽉 잡았어.
2888	The police believe Tom acted alone.	경찰은 톰이 혼자인 척 했다고 믿고 있어.
2147	We need to know what we're supposed to do on Monday.	우리는 월요일에 뭘 해야 하는지 알아야 해.
3074	Do you have the most recent version of this software?	이 소프트웨어의 가장 최신 버전을 갖고 있어?
680	I don't think that it's weird at all.	난 그게 전혀 이상하다고 생각 안 해.
1946	Can I have this cup?	이 컵 가져도 돼요?
445	I'll kill him.	나는 그를 죽일 것이다.
