fuñir,fuñó,1b
decodificar,decodificó,0a*
trasudar,trasudó,0a*
escobar,escobó,0a*
fracturar,fracturó,0a*
ordenar,ordenó,0a*
encasquetar,encasquetó,0a*
vendar,vendó,0a*
desosegar,desosegó,0a*
expectorar,expectoró,0a*
entrar,entró,0a*
brillar,brilló,0a*
errar,erró,0a*
enfoscar,enfoscó,0a*
encharcar,encharcó,0a*
alevantar,alevantó,0a*
tiritar,tiritó,0a*
metaforizar,metaforizó,0a*
escoltar,escoltó,0a*
luxar,luxó,0a*
optimar,optimó,0a*
convulsionar,convulsionó,0a*
atusar,atusó,0a*
subrogar,subrogó,0a*
faenar,faenó,0a*
medicinar,medicinó,0a*
durar,duró,0a*
agonizar,agonizó,0a*
normativizar,normativizó,0a*
quietar,quietó,0a*
amilanar,amilanó,0a*
colar,coló,0a*
traccionar,traccionó,0a*
cesar,cesó,0a*
apocar,apocó,0a*
embarullar,embarulló,0a*
imposibilitar,imposibilitó,0a*
cabestrar,cabestró,0a*
contrapesar,contrapesó,0a*
republicar,republicó,0a*
preagrupar,preagrupó,0a*
brindar,brindó,0a*
prealimentar,prealimentó,0a*
adular,aduló,0a*
granular,granuló,0a*
sazonar,sazonó,0a*
organizar,organizó,0a*
eterizar,eterizó,0a*
reasfaltar,reasfaltó,0a*
regularizar,regularizó,0a*
memorizar,memorizó,0a*
enarbolar,enarboló,0a*
trepidar,trepidó,0a*
hermanar,hermanó,0a*
exacerbar,exacerbó,0a*
estañar,estañó,0a*
antepagar,antepagó,0a*
crucificar,crucificó,0a*
retrocar,retrocó,0a*
coanimar,coanimó,0a*
asegurar,aseguró,0a*
desestimular,desestimuló,0a*
castrar,castró,0a*
folgar,folgó,0a*
hacendar,hacendó,0a*
prosternar,prosternó,0a*
esputar,esputó,0a*
testificar,testificó,0a*
amplificar,amplificó,0a*
desarenar,desarenó,0a*
solubilizar,solubilizó,0a*
acidular,aciduló,0a*
abotonar,abotonó,0a*
chachar,chachó,0a*
desensillar,desensilló,0a*
estornudar,estornudó,0a*
deshelar,desheló,0a*
cilindrar,cilindró,0a*
enervar,enervó,0a*
diagramar,diagramó,0a*
rehogar,rehogó,0a*
desjarretar,desjarretó,0a*
preenvasar,preenvasó,0a*
microperforar,microperforó,0a*
animalizar,animalizó,0a*
infestar,infestó,0a*
saturar,saturó,0a*
repulsar,repulsó,0a*
execrar,execró,0a*
desmitificar,desmitificó,0a*
precomprar,precompró,0a*
explotar,explotó,0a*
estrenar,estrenó,0a*
lacar,lacó,0a*
sobrellenar,sobrellenó,0a*
tutelar,tuteló,0a*
encontrar,encontró,0a*
alambicar,alambicó,0a*
erradicar,erradicó,0a*
deshojar,deshojó,0a*
besar,besó,0a*
embriagar,embriagó,0a*
aguzar,aguzó,0a*
desabrochar,desabrochó,0a*
comentar,comentó,0a*
elucidar,elucidó,0a*
congestionar,congestionó,0a*
plurinacionalizar,plurinacionalizó,0a*
denudar,denudó,0a*
inocular,inoculó,0a*
sectorizar,sectorizó,0a*
americanizar,americanizó,0a*
fijar,fijó,0a*
melar,meló,0a*
multiplexar,multiplexó,0a*
estallar,estalló,0a*
maquinar,maquinó,0a*
reajustar,reajustó,0a*
descasar,descasó,0a*
desactualizar,desactualizó,0a*
carbonizar,carbonizó,0a*
elijar,elijó,0a*
minorar,minoró,0a*
desbastar,desbastó,0a*
escudriñar,escudriñó,0a*
reequilibrar,reequilibró,0a*
audicionar,audicionó,0a*
desembocar,desembocó,0a*
profugar,profugó,0a*
desbandar,desbandó,0a*
recategorizar,recategorizó,0a*
desagotar,desagotó,0a*
ecualizar,ecualizó,0a*
enrasar,enrasó,0a*
abastardar,abastardó,0a*
candidatar,candidató,0a*
embolsar,embolsó,0a*
recalendarizar,recalendarizó,0a*
vetar,vetó,0a*
alijarar,alijaró,0a*
reenvasar,reenvasó,0a*
llevar,llevó,0a*
isomerizar,isomerizó,0a*
escombrar,escombró,0a*
desazonar,desazonó,0a*
opacar,opacó,0a*
atorar,atoró,0a*
traspasar,traspasó,0a*
guadañar,guadañó,0a*
fallar,falló,0a*
desplantar,desplantó,0a*
inhalar,inhaló,0a*
acusar,acusó,0a*
copipegar,copipegó,0a*
entrecortar,entrecortó,0a*
enhornar,enhornó,0a*
petar,petó,0a*
excitar,excitó,0a*
preinstalar,preinstaló,0a*
traficar,traficó,0a*
sinterizar,sinterizó,0a*
alegrar,alegró,0a*
amigar,amigó,0a*
machar,machó,0a*
manchar,manchó,0a*
cubicar,cubicó,0a*
sigilar,sigiló,0a*
acotolar,acotoló,0a*
empeñar,empeñó,0a*
horrorizar,horrorizó,0a*
concentrar,concentró,0a*
reformar,reformó,0a*
resquebrar,resquebró,0a*
engrosar,engrosó,0a*
agachar,agachó,0a*
deshinchar,deshinchó,0a*
pregar,pregó,0a*
encabronar,encabronó,0a*
antologizar,antologizó,0a*
añorar,añoró,0a*
desclasificar,desclasificó,0a*
psicoanalizar,psicoanalizó,0a*
escorzar,escorzó,0a*
despilfarrar,despilfarró,0a*
legalizar,legalizó,0a*
azufrar,azufró,0a*
descerrajar,descerrajó,0a*
preformar,preformó,0a*
regimentar,regimentó,0a*
desacreditar,desacreditó,0a*
fecundar,fecundó,0a*
entrujar,entrujó,0a*
anular,anuló,0a*
destorvar,destorvó,0a*
alistar,alistó,0a*
enroscar,enroscó,0a*
desconcertar,desconcertó,0a*
apedrar,apedró,0a*
lavar,lavó,0a*
cuidar,cuidó,0a*
enchufar,enchufó,0a*
reprocesar,reprocesó,0a*
ahitar,ahitó,0a*
descargar,descargó,0a*
sangrar,sangró,0a*
acuñar,acuñó,0a*
renombrar,renombró,0a*
degollar,degolló,0a*
lechar,lechó,0a*
eructar,eructó,0a*
desaprovechar,desaprovechó,0a*
condesar,condesó,0a*
significar,significó,0a*
agostar,agostó,0a*
apuntar,apuntó,0a*
orillar,orilló,0a*
molar,moló,0a*
agrumar,agrumó,0a*
aproximar,aproximó,0a*
ronzar,ronzó,0a*
innovar,innovó,0a*
sanitizar,sanitizó,0a*
frivolizar,frivolizó,0a*
atomizar,atomizó,0a*
resignar,resignó,0a*
hostilizar,hostilizó,0a*
inervar,inervó,0a*
cuitar,cuitó,0a*
mimar,mimó,0a*
anihilar,anihiló,0a*
encenizar,encenizó,0a*
solucionar,solucionó,0a*
espulgar,espulgó,0a*
pirograbar,pirograbó,0a*
sacar,sacó,0a*
murar,muró,0a*
elongar,elongó,0a*
examinar,examinó,0a*
festejar,festejó,0a*
coaccionar,coaccionó,0a*
abrogar,abrogó,0a*
vagar,vagó,0a*
reasentar,reasentó,0a*
teletrabajar,teletrabajó,0a*
reflotar,reflotó,0a*
sonar,sonó,0a*
gastar,gastó,0a*
mascar,mascó,0a*
complotar,complotó,0a*
focalizar,focalizó,0a*
abastar,abastó,0a*
nominalizar,nominalizó,0a*
salar,saló,0a*
entintar,entintó,0a*
apencar,apencó,0a*
majar,majó,0a*
desmedrar,desmedró,0a*
revacunar,revacunó,0a*
capitalizar,capitalizó,0a*
reaprovechar,reaprovechó,0a*
sancionar,sancionó,0a*
sextuplicar,sextuplicó,0a*
dificultar,dificultó,0a*
reconsagrar,reconsagró,0a*
reinstalar,reinstaló,0a*
indultar,indultó,0a*
manifestar,manifestó,0a*
enfardar,enfardó,0a*
europeizar,europeizó,0a*
ministerializar,ministerializó,0a*
retipificar,retipificó,0a*
suplementar,suplementó,0a*
incursionar,incursionó,0a*
adujar,adujó,0a*
repelar,repeló,0a*
congratular,congratuló,0a*
forjar,forjó,0a*
azolvar,azolvó,0a*
fustigar,fustigó,0a*
sutilizar,sutilizó,0a*
despampanar,despampanó,0a*
argumentar,argumentó,0a*
encunetar,encunetó,0a*
blasfemar,blasfemó,0a*
fecundizar,fecundizó,0a*
lazar,lazó,0a*
robar,robó,0a*
catequizar,catequizó,0a*
atufar,atufó,0a*
despelotar,despelotó,0a*
concientizar,concientizó,0a*
incentivar,incentivó,0a*
desentubar,desentubó,0a*
embargar,embargó,0a*
inflacionar,inflacionó,0a*
arribar,arribó,0a*
acairelar,acaireló,0a*
destripar,destripó,0a*
disturbar,disturbó,0a*
jugar,jugó,0a*
grillar,grilló,0a*
enmarrocar,enmarrocó,0a*
enrolar,enroló,0a*
airar,airó,0a*
pinchar,pinchó,0a*
alechugar,alechugó,0a*
encomenzar,encomenzó,0a*
esterilizar,esterilizó,0a*
trincar,trincó,0a*
halagar,halagó,0a*
perlar,perló,0a*
ensebar,ensebó,0a*
prensar,prensó,0a*
ubicar,ubicó,0a*
indignar,indignó,0a*
instar,instó,0a*
involucionar,involucionó,0a*
cobrar,cobró,0a*
encalabrinar,encalabrinó,0a*
descartar,descartó,0a*
mancar,mancó,0a*
azular,azuló,0a*
represar,represó,0a*
homologar,homologó,0a*
rasmillar,rasmilló,0a*
demodular,demoduló,0a*
desembrujar,desembrujó,0a*
estirar,estiró,0a*
adentrar,adentró,0a*
oliscar,oliscó,0a*
preservar,preservó,0a*
transparentar,transparentó,0a*
encrespar,encrespó,0a*
descertificar,descertificó,0a*
garpar,garpó,0a*
cooperar,cooperó,0a*
aparcar,aparcó,0a*
desatascar,desatascó,0a*
ajuntar,ajuntó,0a*
pensar,pensó,0a*
empecinar,empecinó,0a*
medrar,medró,0a*
aprobar,aprobó,0a*
merengar,merengó,0a*
desguinzar,desguinzó,0a*
revesar,revesó,0a*
encabezar,encabezó,0a*
desfalcar,desfalcó,0a*
reprochar,reprochó,0a*
alambrar,alambró,0a*
abatojar,abatojó,0a*
reconfortar,reconfortó,0a*
encalzar,encalzó,0a*
interrelacionar,interrelacionó,0a*
profesionalizar,profesionalizó,0a*
capacitar,capacitó,0a*
anquilosar,anquilosó,0a*
tornar,tornó,0a*
acorralar,acorraló,0a*
desfondar,desfondó,0a*
pincelar,pinceló,0a*
delatar,delató,0a*
conjuntar,conjuntó,0a*
yermar,yermó,0a*
orificar,orificó,0a*
furtar,furtó,0a*
rebajar,rebajó,0a*
sodomizar,sodomizó,0a*
desatar,desató,0a*
acuchillar,acuchilló,0a*
arregazar,arregazó,0a*
impermeabilizar,impermeabilizó,0a*
recomendar,recomendó,0a*
mistificar,mistificó,0a*
almidonar,almidonó,0a*
habilitar,habilitó,0a*
eclipsar,eclipsó,0a*
politizar,politizó,0a*
aminorar,aminoró,0a*
mexicanizar,mexicanizó,0a*
apuntillar,apuntilló,0a*
amasar,amasó,0a*
trozar,trozó,0a*
ingresar,ingresó,0a*
abortar,abortó,0a*
aplicar,aplicó,0a*
reexaminar,reexaminó,0a*
coprotagonizar,coprotagonizó,0a*
comercializar,comercializó,0a*
lanzar,lanzó,0a*
informatizar,informatizó,0a*
desintoxicar,desintoxicó,0a*
hartar,hartó,0a*
falsificar,falsificó,0a*
sobreestimar,sobreestimó,0a*
evocar,evocó,0a*
postrar,postró,0a*
redireccionar,redireccionó,0a*
desregularizar,desregularizó,0a*
anublar,anubló,0a*
reconcentrar,reconcentró,0a*
previsualizar,previsualizó,0a*
malograr,malogró,0a*
repautar,repautó,0a*
sobredimensionar,sobredimensionó,0a*
sospechar,sospechó,0a*
brizar,brizó,0a*
reestrenar,reestrenó,0a*
condonar,condonó,0a*
inmatricular,inmatriculó,0a*
pavonar,pavonó,0a*
mercerizar,mercerizó,0a*
socarrar,socarró,0a*
amartelar,amarteló,0a*
convalidar,convalidó,0a*
hisopar,hisopó,0a*
regoldar,regoldó,0a*
engrandar,engrandó,0a*
rellenar,rellenó,0a*
abeldar,abeldó,0a*
levitar,levitó,0a*
palmar,palmó,0a*
desmontar,desmontó,0a*
redensificar,redensificó,0a*
remedar,remedó,0a*
usar,usó,0a*
desgravar,desgravó,0a*
reiterar,reiteró,0a*
soldar,soldó,0a*
revisitar,revisitó,0a*
enjalmar,enjalmó,0a*
formar,formó,0a*
amarar,amaró,0a*
estozolar,estozoló,0a*
enladrillar,enladrilló,0a*
maridar,maridó,0a*
dosificar,dosificó,0a*
restregar,restregó,0a*
consejar,consejó,0a*
arrendar,arrendó,0a*
inmutar,inmutó,0a*
adehesar,adehesó,0a*
reatar,reató,0a*
repensar,repensó,0a*
macular,maculó,0a*
prosperar,prosperó,0a*
computarizar,computarizó,0a*
apalancar,apalancó,0a*
liderizar,liderizó,0a*
externar,externó,0a*
discursar,discursó,0a*
resobar,resobó,0a*
configurar,configuró,0a*
restructurar,restructuró,0a*
divagar,divagó,0a*
explosionar,explosionó,0a*
exterminar,exterminó,0a*
desmembrar,desmembró,0a*
amelcochar,amelcochó,0a*
alertar,alertó,0a*
recurvar,recurvó,0a*
bosar,bosó,0a*
aflojar,aflojó,0a*
desapasionar,desapasionó,0a*
fechar,fechó,0a*
deshonorar,deshonoró,0a*
educar,educó,0a*
reubicar,reubicó,0a*
amotinar,amotinó,0a*
bailar,bailó,0a*
transar,transó,0a*
nixtamalizar,nixtamalizó,0a*
relanzar,relanzó,0a*
encaramar,encaramó,0a*
jimar,jimó,0a*
aventajar,aventajó,0a*
emigrar,emigró,0a*
tonificar,tonificó,0a*
reformular,reformuló,0a*
memorializar,memorializó,0a*
abonar,abonó,0a*
achantar,achantó,0a*
trabucar,trabucó,0a*
deflactar,deflactó,0a*
avalentar,avalentó,0a*
obliterar,obliteró,0a*
desamarrar,desamarró,0a*
occidentalizar,occidentalizó,0a*
regionalizar,regionalizó,0a*
acremar,acremó,0a*
inaugurar,inauguró,0a*
fragmentar,fragmentó,0a*
intrusar,intrusó,0a*
nominar,nominó,0a*
barajar,barajó,0a*
tocar,tocó,0a*
aburujar,aburujó,0a*
melgar,melgó,0a*
engrudar,engrudó,0a*
estereotipar,estereotipó,0a*
simplificar,simplificó,0a*
desminar,desminó,0a*
resaltar,resaltó,0a*
enojar,enojó,0a*
alternar,alternó,0a*
reincorporar,reincorporó,0a*
remixar,remixó,0a*
investigar,investigó,0a*
enrielar,enrieló,0a*
biofortificar,biofortificó,0a*
aguardar,aguardó,0a*
desencerrar,desencerró,0a*
invitar,invitó,0a*
tronar,tronó,0a*
desconsolar,desconsoló,0a*
espiritualizar,espiritualizó,0a*
apiñar,apiñó,0a*
barbotar,barbotó,0a*
amancillar,amancilló,0a*
complicar,complicó,0a*
gravar,gravó,0a*
encapuchar,encapuchó,0a*
atragantar,atragantó,0a*
amenizar,amenizó,0a*
achuchar,achuchó,0a*
insonorizar,insonorizó,0a*
apegar,apegó,0a*
cincelar,cinceló,0a*
arromar,arromó,0a*
embocar,embocó,0a*
reciclar,recicló,0a*
empañar,empañó,0a*
adelgazar,adelgazó,0a*
presupuestar,presupuestó,0a*
ultracentrifugar,ultracentrifugó,0a*
desbocar,desbocó,0a*
arrodillar,arrodilló,0a*
respirar,respiró,0a*
atemperar,atemperó,0a*
restallar,restalló,0a*
colisionar,colisionó,0a*
aplanchar,aplanchó,0a*
reeducar,reeducó,0a*
candidatizar,candidatizó,0a*
emputar,emputó,0a*
confrontar,confrontó,0a*
cagar,cagó,0a*
preponderar,preponderó,0a*
laxar,laxó,0a*
recesar,recesó,0a*
desmotivar,desmotivó,0a*
masculinizar,masculinizó,0a*
embanderar,embanderó,0a*
escaramuzar,escaramuzó,0a*
augurar,auguró,0a*
tascar,tascó,0a*
visitar,visitó,0a*
mencionar,mencionó,0a*
despanzurrar,despanzurró,0a*
ayuntar,ayuntó,0a*
carburar,carburó,0a*
intersectar,intersectó,0a*
implantar,implantó,0a*
intricar,intricó,0a*
sacramentar,sacramentó,0a*
desafinar,desafinó,0a*
dibujar,dibujó,0a*
confederar,confederó,0a*
respetar,respetó,0a*
ameritar,ameritó,0a*
enchuecar,enchuecó,0a*
escodar,escodó,0a*
esvarar,esvaró,0a*
despotizar,despotizó,0a*
escotar,escotó,0a*
empastar,empastó,0a*
decapitar,decapitó,0a*
cotejar,cotejó,0a*
reflejar,reflejó,0a*
celar,celó,0a*
aplatanar,aplatanó,0a*
caucionar,caucionó,0a*
morar,moró,0a*
bojar,bojó,0a*
reingresar,reingresó,0a*
graznar,graznó,0a*
restañar,restañó,0a*
intergradar,intergradó,0a*
moderar,moderó,0a*
justar,justó,0a*
desoxigenar,desoxigenó,0a*
desprecintar,desprecintó,0a*
fedatar,fedató,0a*
comunitarizar,comunitarizó,0a*
araucanizar,araucanizó,0a*
sobregrabar,sobregrabó,0a*
tallar,talló,0a*
solidificar,solidificó,0a*
sopar,sopó,0a*
predestinar,predestinó,0a*
descompensar,descompensó,0a*
esguazar,esguazó,0a*
desinteresar,desinteresó,0a*
amalgamar,amalgamó,0a*
defosforilar,defosforiló,0a*
reciprocar,reciprocó,0a*
autogobernar,autogobernó,0a*
rielar,rieló,0a*
municipalizar,municipalizó,0a*
soliviantar,soliviantó,0a*
ciberacosar,ciberacosó,0a*
epatar,epató,0a*
amoblar,amobló,0a*
upar,upó,0a*
marrar,marró,0a*
estruchar,estruchó,0a*
azogar,azogó,0a*
trasmontar,trasmontó,0a*
etoxilar,etoxiló,0a*
allanar,allanó,0a*
encumbrar,encumbró,0a*
aborregar,aborregó,0a*
figurar,figuró,0a*
guisar,guisó,0a*
reforzar,reforzó,0a*
constar,constó,0a*
geminar,geminó,0a*
plantar,plantó,0a*
refrenar,refrenó,0a*
abemolar,abemoló,0a*
extirpar,extirpó,0a*
uruguayizar,uruguayizó,0a*
pesar,pesó,0a*
abombar,abombó,0a*
galvanizar,galvanizó,0a*
prepagar,prepagó,0a*
internacionalizar,internacionalizó,0a*
engordar,engordó,0a*
descolonizar,descolonizó,0a*
enflacar,enflacó,0a*
enjambrar,enjambró,0a*
recontextualizar,recontextualizó,0a*
sancochar,sancochó,0a*
transvasar,transvasó,0a*
castigar,castigó,0a*
cimar,cimó,0a*
sobrealimentar,sobrealimentó,0a*
irrigar,irrigó,0a*
colaborar,colaboró,0a*
prendar,prendó,0a*
cuadrar,cuadró,0a*
hollar,holló,0a*
desconchar,desconchó,0a*
asimilar,asimiló,0a*
desenfocar,desenfocó,0a*
memorar,memoró,0a*
labializar,labializó,0a*
bancarizar,bancarizó,0a*
arrempujar,arrempujó,0a*
equiparar,equiparó,0a*
recodificar,recodificó,0a*
aberrar,aberró,0a*
arropar,arropó,0a*
blasonar,blasonó,0a*
escoñar,escoñó,0a*
punchar,punchó,0a*
anarquizar,anarquizó,0a*
escardar,escardó,0a*
privar,privó,0a*
bochar,bochó,0a*
materializar,materializó,0a*
identificar,identificó,0a*
secuestrar,secuestró,0a*
conhortar,conhortó,0a*
estrellar,estrelló,0a*
estafar,estafó,0a*
turboalimentar,turboalimentó,0a*
esclerosar,esclerosó,0a*
amojonar,amojonó,0a*
desairar,desairó,0a*
signar,signó,0a*
aerotransportar,aerotransportó,0a*
vacunar,vacunó,0a*
arponar,arponó,0a*
prenasalizar,prenasalizó,0a*
astillar,astilló,0a*
inejecutar,inejecutó,0a*
zuzar,zuzó,0a*
musealizar,musealizó,0a*
desapegar,desapegó,0a*
encopetar,encopetó,0a*
encerrar,encerró,0a*
desencorvar,desencorvó,0a*
semblar,sembló,0a*
testar,testó,0a*
asturianizar,asturianizó,0a*
arrebatar,arrebató,0a*
pernoctar,pernoctó,0a*
visionar,visionó,0a*
laicizar,laicizó,0a*
contar,contó,0a*
vivificar,vivificó,0a*
horripilar,horripiló,0a*
engominar,engominó,0a*
empellar,empelló,0a*
callar,calló,0a*
arrinconar,arrinconó,0a*
inmunizar,inmunizó,0a*
ruborizar,ruborizó,0a*
estilar,estiló,0a*
multar,multó,0a*
escrutar,escrutó,0a*
deputar,deputó,0a*
cautelar,cauteló,0a*
entramar,entramó,0a*
aullar,aulló,0a*
elucubrar,elucubró,0a*
fosfatar,fosfató,0a*
malacostumbrar,malacostumbró,0a*
empanizar,empanizó,0a*
perdigar,perdigó,0a*
posesionar,posesionó,0a*
minar,minó,0a*
menoscabar,menoscabó,0a*
amonestar,amonestó,0a*
mochar,mochó,0a*
depositar,depositó,0a*
aforar,aforó,0a*
adulterar,adulteró,0a*
timbrar,timbró,0a*
sindicalizar,sindicalizó,0a*
empatar,empató,0a*
metastizar,metastizó,0a*
desbarrar,desbarró,0a*
trasegar,trasegó,0a*
deflorar,defloró,0a*
redundar,redundó,0a*
linchar,linchó,0a*
emplumar,emplumó,0a*
descalzar,descalzó,0a*
economizar,economizó,0a*
aterrorizar,aterrorizó,0a*
alfalfar,alfalfó,0a*
dezmar,dezmó,0a*
acetar,acetó,0a*
preconfigurar,preconfiguró,0a*
aclimatar,aclimató,0a*
aproblemar,aproblemó,0a*
ayunar,ayunó,0a*
regocijar,regocijó,0a*
escabechar,escabechó,0a*
precompilar,precompiló,0a*
lograr,logró,0a*
entrabar,entrabó,0a*
binar,binó,0a*
circundar,circundó,0a*
atracar,atracó,0a*
osificar,osificó,0a*
subvirar,subviró,0a*
cuchar,cuchó,0a*
esquinar,esquinó,0a*
corlar,corló,0a*
desbaratar,desbarató,0a*
trasparentar,trasparentó,0a*
reunificar,reunificó,0a*
derivar,derivó,0a*
vandalizar,vandalizó,0a*
desnucar,desnucó,0a*
engomar,engomó,0a*
trasluchar,trasluchó,0a*
envenenar,envenenó,0a*
elaborar,elaboró,0a*
dragar,dragó,0a*
coquificar,coquificó,0a*
anchar,anchó,0a*
desempaquetar,desempaquetó,0a*
agudizar,agudizó,0a*
sedimentar,sedimentó,0a*
decuplar,decupló,0a*
pixelar,pixeló,0a*
repostar,repostó,0a*
fumar,fumó,0a*
canonizar,canonizó,0a*
enmallar,enmalló,0a*
transbordar,transbordó,0a*
fincar,fincó,0a*
editorializar,editorializó,0a*
ortigar,ortigó,0a*
gargarizar,gargarizó,0a*
cohesionar,cohesionó,0a*
descolgar,descolgó,0a*
enchinar,enchinó,0a*
tamizar,tamizó,0a*
mentar,mentó,0a*
adormilar,adormiló,0a*
consignar,consignó,0a*
interaccionar,interaccionó,0a*
desincentivar,desincentivó,0a*
profesar,profesó,0a*
coaligar,coaligó,0a*
reinsertar,reinsertó,0a*
trasformar,trasformó,0a*
supervisar,supervisó,0a*
abacorar,abacoró,0a*
grabar,grabó,0a*
descarapelar,descarapeló,0a*
sobreasar,sobreasó,0a*
rearmar,rearmó,0a*
efectivizar,efectivizó,0a*
aportar,aportó,0a*
aquejar,aquejó,0a*
malquistar,malquistó,0a*
champurrar,champurró,0a*
gravitar,gravitó,0a*
desemborrachar,desemborrachó,0a*
reencaminar,reencaminó,0a*
concadenar,concadenó,0a*
africanizar,africanizó,0a*
ruinar,ruinó,0a*
traumatizar,traumatizó,0a*
acobijar,acobijó,0a*
apriscar,apriscó,0a*
euscaldunizar,euscaldunizó,0a*
seleccionar,seleccionó,0a*
anclar,ancló,0a*
remodelar,remodeló,0a*
desubicar,desubicó,0a*
desmarcar,desmarcó,0a*
impactar,impactó,0a*
recolectar,recolectó,0a*
alucinar,alucinó,0a*
atizar,atizó,0a*
ensecar,ensecó,0a*
relativizar,relativizó,0a*
adobar,adobó,0a*
repavimentar,repavimentó,0a*
vacilar,vaciló,0a*
desmesurar,desmesuró,0a*
descachimbar,descachimbó,0a*
computerizar,computerizó,0a*
turbocargar,turbocargó,0a*
irrogar,irrogó,0a*
dictar,dictó,0a*
nimbar,nimbó,0a*
emanar,emanó,0a*
aspirar,aspiró,0a*
desenojar,desenojó,0a*
apedazar,apedazó,0a*
autopublicar,autopublicó,0a*
sobreexplotar,sobreexplotó,0a*
arrumbar,arrumbó,0a*
escavar,escavó,0a*
peronizar,peronizó,0a*
asentar,asentó,0a*
parcializar,parcializó,0a*
previsionar,previsionó,0a*
concursar,concursó,0a*
plisar,plisó,0a*
desovar,desovó,0a*
cubijar,cubijó,0a*
conturbar,conturbó,0a*
chuzar,chuzó,0a*
cicatrizar,cicatrizó,0a*
conectar,conectó,0a*
enlutar,enlutó,0a*
instrumentar,instrumentó,0a*
desionizar,desionizó,0a*
apretujar,apretujó,0a*
tergiversar,tergiversó,0a*
castellanizar,castellanizó,0a*
pontificar,pontificó,0a*
atarugar,atarugó,0a*
latinizar,latinizó,0a*
transistorizar,transistorizó,0a*
translocar,translocó,0a*
apayasar,apayasó,0a*
contusionar,contusionó,0a*
circunnavegar,circunnavegó,0a*
favelizar,favelizó,0a*
baremar,baremó,0a*
envigar,envigó,0a*
aruñar,aruñó,0a*
embrollar,embrolló,0a*
apañar,apañó,0a*
alimentar,alimentó,0a*
colmatar,colmató,0a*
activar,activó,0a*
tropicalizar,tropicalizó,0a*
pregustar,pregustó,0a*
caducar,caducó,0a*
lesionar,lesionó,0a*
refinar,refinó,0a*
compartimentalizar,compartimentalizó,0a*
purpurar,purpuró,0a*
empachar,empachó,0a*
centralizar,centralizó,0a*
puñar,puñó,0a*
desmonetizar,desmonetizó,0a*
academizar,academizó,0a*
reedificar,reedificó,0a*
cromar,cromó,0a*
cohechar,cohechó,0a*
involucrar,involucró,0a*
triangular,trianguló,0a*
trucidar,trucidó,0a*
inquietar,inquietó,0a*
desaforar,desaforó,0a*
amartillar,amartilló,0a*
marinar,marinó,0a*
añublar,añubló,0a*
tildar,tildó,0a*
amaestrar,amaestró,0a*
empelar,empeló,0a*
derechizar,derechizó,0a*
desnatar,desnató,0a*
colgar,colgó,0a*
halar,haló,0a*
garchar,garchó,0a*
emproblemar,emproblemó,0a*
afilar,afiló,0a*
erosionar,erosionó,0a*
arreglar,arregló,0a*
entronizar,entronizó,0a*
afiligranar,afiligranó,0a*
precalentar,precalentó,0a*
condensar,condensó,0a*
narcotizar,narcotizó,0a*
embastar,embastó,0a*
emparentar,emparentó,0a*
envergonzar,envergonzó,0a*
afeitar,afeitó,0a*
hurtar,hurtó,0a*
observar,observó,0a*
hispanizar,hispanizó,0a*
reanudar,reanudó,0a*
ridiculizar,ridiculizó,0a*
encuartelar,encuarteló,0a*
disfrazar,disfrazó,0a*
remangar,remangó,0a*
doblar,dobló,0a*
regrabar,regrabó,0a*
discriminar,discriminó,0a*
desmochar,desmochó,0a*
trasplantar,trasplantó,0a*
calentar,calentó,0a*
atornillar,atornilló,0a*
condenar,condenó,0a*
empitonar,empitonó,0a*
intensificar,intensificó,0a*
traslapar,traslapó,0a*
vibrar,vibró,0a*
decomisionar,decomisionó,0a*
peñizcar,peñizcó,0a*
arramplar,arrampló,0a*
desertar,desertó,0a*
blocar,blocó,0a*
chinchar,chinchó,0a*
momificar,momificó,0a*
salpresar,salpresó,0a*
fintar,fintó,0a*
versionar,versionó,0a*
desembarrancar,desembarrancó,0a*
emperifollar,emperifolló,0a*
augmentar,augmentó,0a*
coleccionar,coleccionó,0a*
rezar,rezó,0a*
entregar,entregó,0a*
abovedar,abovedó,0a*
culturar,culturó,0a*
ahorrar,ahorró,0a*
replegar,replegó,0a*
azorar,azoró,0a*
solazar,solazó,0a*
arruinar,arruinó,0a*
debelar,debeló,0a*
solemnizar,solemnizó,0a*
cuñar,cuñó,0a*
desempalmar,desempalmó,0a*
desclasar,desclasó,0a*
jibarizar,jibarizó,0a*
parangonar,parangonó,0a*
atortolar,atortoló,0a*
enfeudar,enfeudó,0a*
acaudillar,acaudilló,0a*
despicar,despicó,0a*
derrapar,derrapó,0a*
tramitar,tramitó,0a*
concelebrar,concelebró,0a*
aventar,aventó,0a*
aspar,aspó,0a*
barnizar,barnizó,0a*
mangar,mangó,0a*
nivelar,niveló,0a*
resacar,resacó,0a*
escuadronar,escuadronó,0a*
delegar,delegó,0a*
reembolsar,reembolsó,0a*
ilegalizar,ilegalizó,0a*
transportar,transportó,0a*
manducar,manducó,0a*
desobligar,desobligó,0a*
radicalizar,radicalizó,0a*
recapacitar,recapacitó,0a*
tusar,tusó,0a*
vituperar,vituperó,0a*
intimidar,intimidó,0a*
metodizar,metodizó,0a*
esmerar,esmeró,0a*
descarbonatar,descarbonató,0a*
apresar,apresó,0a*
adversar,adversó,0a*
particularizar,particularizó,0a*
confortar,confortó,0a*
depauperar,depauperó,0a*
violar,violó,0a*
